1,1,1+1i,1+1i,1+1i,1+1i,1
1,2,1+1i,2+2i,2+2i,1+1i,1
1,3,1+1i,3+3i,3+3i,1+1i,1
1,4,1+1i,4+4i,4+4i,1+1i,1
1,5,1+1i,5+5i,5+5i,1+1i,1
1,6,1+1i,6+6i,6+6i,1+1i,1
1,7,1+1i,7+7i,7+7i,1+1i,1
1,8,1+1i,8+8i,8+8i,1+1i,1
1,9,1+1i,9+9i,9+9i,1+1i,1
1,10,1+1i,10+10i,10+10i,1+1i,1
1,11,1+1i,11+11i,11+11i,1+1i,1
1,12,1+1i,12+12i,12+12i,1+1i,1
1,13,1+1i,13+13i,13+13i,1+1i,1
1,14,1+1i,14+14i,14+14i,1+1i,1
1,15,1+1i,15+15i,15+15i,1+1i,1
1,16,1+1i,16+16i,16+16i,1+1i,1
1,17,1+1i,17+17i,17+17i,1+1i,1
1,18,1+1i,18+18i,18+18i,1+1i,1
1,19,1+1i,19+19i,19+19i,1+1i,1
1,20,1+1i,20+20i,20+20i,1+1i,1
1,21,1+1i,21+21i,21+21i,1+1i,1
1,22,1+1i,22+22i,22+22i,1+1i,1
1,23,1+1i,23+23i,23+23i,1+1i,1
1,24,1+1i,24+24i,24+24i,1+1i,1
1,25,1+1i,25+25i,25+25i,1+1i,1
1,26,1+1i,26+26i,26+26i,1+1i,1
1,27,1+1i,27+27i,27+27i,1+1i,1
1,28,1+1i,28+28i,28+28i,1+1i,1
1,29,1+1i,29+29i,29+29i,1+1i,1
1,30,1+1i,30+30i,30+30i,1+1i,1
1,31,1+1i,31+31i,31+31i,1+1i,1
1,32,1+1i,32+32i,32+32i,1+1i,1
1,33,1+1i,33+33i,33+33i,1+1i,1
1,34,1+1i,34+34i,34+34i,1+1i,1
1,35,1+1i,35+35i,35+35i,1+1i,1
1,36,1+1i,36+36i,36+36i,1+1i,1
1,37,1+1i,37+37i,37+37i,1+1i,1
1,38,1+1i,38+38i,38+38i,1+1i,1
1,39,1+1i,39+39i,39+39i,1+1i,1
1,40,1+1i,40+40i,40+40i,1+1i,1
1,41,1+1i,41+41i,41+41i,1+1i,1
1,42,1+1i,42+42i,42+42i,1+1i,1
1,43,1+1i,43+43i,43+43i,1+1i,1
1,44,1+1i,44+44i,44+44i,1+1i,1
1,45,1+1i,45+45i,45+45i,1+1i,1
1,46,1+1i,46+46i,46+46i,1+1i,1
1,47,1+1i,47+47i,47+47i,1+1i,1
1,48,1+1i,48+48i,48+48i,1+1i,1
1,49,1+1i,49+49i,49+49i,1+1i,1
1,50,1+1i,50+50i,50+50i,1+1i,1
1,51,1+1i,51+51i,51+51i,1+1i,1
